ID,Name,TM01 - Focus Punch,TM02 - Dragon Claw,TM03 - Water Pulse,TM04 - Calm Mind,TM05 - Roar,TM06 - Toxic,TM07 - Hail,TM08 - Bulk Up,TM09 - Bullet Seed,TM10 - Hidden Power,TM11 - Sunny Day,TM12 - Taunt,TM13 - Ice Beam,TM14 - Blizzard,TM15 - Hyper Beam,TM16 - Light Screen,TM17 - Protect,TM18 - Rain Dance,TM19 - Giga Drain,TM20 - Safeguard,TM21 - Frustration,TM22 - SolarBeam,TM23 - Iron Tail,TM24 - Thunderbolt,TM25 - Thunder,TM26 - Earthquake,TM27 - Return,TM28 - Dig,TM29 - Psychic,TM30 - Shadow Ball,TM31 - Brick Break,TM32 - Double Team,TM33 - Reflect,TM34 - Shock Wave,TM35 - Flamethrower,TM36 - Sludge Bomb,TM37 - Sandstorm,TM38 - Fire Blast,TM39 - Rock Tomb,TM40 - Aerial Ace,TM41 - Torment,TM42 - Facade,TM43 - Secret Power,TM44 - Rest,TM45 - Attract,TM46 - Thief,TM47 - Steel Wing,TM48 - Skill Swap,TM49 - Snatch,TM50 - Overheat,TM51 - Roost,TM52 - Focus Blast,TM53 - Energy Ball,TM54 - False Swipe,TM55 - Brine,TM56 - Fling,TM57 - Charge Beam,TM58 - Endure,TM59 - Dragon Pulse,TM60 - Drain Punch,TM61 - Will-O-Wisp,TM62 - Silver Wind,TM63 - Embargo,TM64 - Explosion,TM65 - Shadow Claw,TM66 - Payback,TM67 - Recycle,TM68 - Giga Impact,TM69 - Rock Polish,TM70 - Flash,TM71 - Stone Edge,TM72 - Avalanche,TM73 - Thunder Wave,TM74 - Gyro Ball,TM75 - Swords Dance,TM76 - Stealth Rock,TM77 - Psych Up,TM78 - Captivate,TM79 - Dark Pulse,TM80 - Rock Slide,TM81 - X-Scissor,TM82 - Sleep Talk,TM83 - Natural Gift,TM84 - Poison Jab,TM85 - Dream Eater,TM86 - Grass Knot,TM87 - Swagger,TM88 - Pluck,TM89 - U-turn,TM90 - Substitute,TM91 - Flash Cannon,TM92 - Trick Room,HM01 - Cut,HM02 - Fly,HM03 - Surf,HM04 - Strength,HM05 - Whirlpool,HM06 - Rock Smash,HM07 - Waterfall,HM08 - Rock Climb
10,Caterpie,[false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false]
11,Metapod,[false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false]
12,Butterfree,[false,false,false,false,false,true,false,false,false,true,true,false,false,false,true,false,true,true,true,true,true,true,false,false,false,false,true,false,true,true,false,true,false,false,false,false,false,false,false,true,false,true,true,true,true,true,false,true,false,false,true,false,true,false,false,false,false,true,false,false,false,true,false,false,false,false,false,true,false,true,false,false,false,false,false,false,true,true,false,false,false,true,true,false,true,false,true,false,true,true,false,false,false,false,false,false,false,false,false,false]
13,Weedle,[false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false]
14,Kakuna,[false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false]
15,Beedrill,[false,false,false,false,false,true,false,false,false,true,true,false,false,false,true,false,true,false,true,false,true,true,false,false,false,false,true,false,false,false,true,true,false,false,false,true,false,false,false,true,false,true,true,true,true,true,false,false,false,false,true,false,false,true,false,false,false,true,false,false,false,true,false,false,false,true,false,true,false,true,false,false,false,false,true,false,false,true,false,false,true,true,true,true,false,false,true,false,true,true,false,false,true,false,false,false,false,true,false,false]
16,Pidgey,[false,false,false,false,false,true,false,false,false,true,true,false,false,false,false,false,true,true,false,false,true,false,false,false,false,false,true,false,false,false,false,true,false,false,false,false,false,false,false,true,false,true,true,true,true,true,true,false,false,false,true,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,true,true,false,false,false,true,true,true,true,false,false,false,true,false,false,false,false,false,false]
17,Pidgeotto,[false,false,false,false,false,true,false,false,false,true,true,false,false,false,false,false,true,true,false,false,true,false,false,false,false,false,true,false,false,false,false,true,false,false,false,false,false,false,false,true,false,true,true,true,true,true,true,false,false,false,true,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,true,true,false,false,false,true,true,true,true,false,false,false,true,false,false,false,false,false,false]
18,Pidgeot,[false,false,false,false,false,true,false,false,false,true,true,false,false,false,true,false,true,true,false,false,true,false,false,false,false,false,true,false,false,false,false,true,false,false,false,false,false,false,false,true,false,true,true,true,true,true,true,false,false,false,true,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,true,false,false,false,true,true,false,false,false,true,true,true,true,false,false,false,true,false,false,false,false,false,false]
19,Rattata,[false,false,false,false,false,true,false,false,false,true,true,true,true,true,false,false,true,true,false,false,true,false,true,true,true,false,true,true,false,true,false,true,false,true,false,false,false,false,false,false,false,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,true,false,false,false,true,true,false,false,true,true,true,true,true,false,false,true,false,false,false,false,true,false,false]
20,Raticate,[false,false,false,false,true,true,false,false,false,true,true,true,true,true,true,false,true,true,false,false,true,false,true,true,true,false,true,true,false,true,false,true,false,true,false,false,false,false,false,false,false,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,true,true,false,false,false,false,false,false,false,false,false,true,false,false,false,false,true,false,true,false,false,true,false,false,false,true,true,false,false,true,true,true,true,true,false,false,true,false,false,true,false,true,false,false]
21,Spearow,[false,false,false,false,false,true,false,false,false,true,true,false,false,false,false,false,true,true,false,false,true,false,false,false,false,false,true,false,false,false,false,true,false,false,false,false,false,false,false,true,false,true,true,true,true,true,true,false,false,false,true,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,true,true,false,false,false,true,true,true,true,false,false,false,true,false,false,false,false,false,false]
22,Fearow,[false,false,false,false,false,true,false,false,false,true,true,false,false,false,true,false,true,true,false,false,true,false,false,false,false,false,true,false,false,false,false,true,false,false,false,false,false,false,false,true,false,true,true,true,true,true,true,false,false,false,true,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,true,false,false,false,true,true,false,false,false,true,true,true,true,false,false,false,true,false,false,false,false,false,false]
23,Ekans,[false,false,false,false,false,true,false,false,false,true,true,false,false,false,false,false,true,true,true,false,true,false,true,false,false,true,true,true,false,false,false,true,false,false,false,true,false,false,true,false,true,true,true,true,true,true,false,false,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,true,true,true,false,true,true,true,false,false,true,false,false,true,false,false,false,false,false,true,false,false,false,false]
24,Arbok,[false,false,false,false,false,true,false,false,false,true,true,false,false,false,true,false,true,true,true,false,true,false,true,false,false,true,true,true,false,false,false,true,false,false,false,true,false,false,true,false,true,true,true,true,true,true,false,false,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,true,false,true,false,false,false,false,false,false,false,false,false,true,true,true,false,true,true,true,false,false,true,false,false,true,false,false,false,false,false,true,false,false,false,false]
25,Pikachu,[true,false,false,false,false,true,false,false,false,true,false,false,false,false,false,true,true,true,false,false,true,false,true,true,true,false,true,true,false,false,true,true,false,true,false,false,false,false,false,false,false,true,true,true,true,false,false,false,false,false,false,false,false,false,false,true,true,true,false,false,false,false,false,false,false,false,false,false,false,true,false,false,true,false,false,false,false,true,false,false,false,true,true,false,false,true,true,false,false,true,false,false,false,false,false,true,false,true,false,false]
26,Raichu,[true,false,false,false,false,true,false,false,false,true,false,false,false,false,true,true,true,true,false,false,true,false,true,true,true,false,true,true,false,false,true,true,false,true,false,false,false,false,false,false,false,true,true,true,true,true,false,false,false,false,false,true,false,false,false,true,true,true,false,false,false,false,false,false,false,false,false,true,false,true,false,false,true,false,false,false,false,true,false,false,false,true,true,false,false,true,true,false,false,true,false,false,false,false,false,true,false,true,false,false]
27,Sandshrew,[true,false,false,false,false,true,false,false,false,true,true,false,false,false,false,false,true,false,false,false,true,false,true,false,false,true,true,true,false,false,true,true,false,false,false,false,true,false,true,true,false,true,true,true,true,true,false,false,false,false,false,false,false,false,false,true,false,true,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,true,true,true,false,true,false,true,true,true,true,true,false,false,true,false,false,true,false,false,true,false,false,true,false,true,false,true]
28,Sandslash,[true,false,false,false,false,true,false,false,false,true,true,false,false,false,true,false,true,false,false,false,true,false,true,false,false,true,true,true,false,false,true,true,false,false,false,false,true,false,true,true,false,true,true,true,true,true,false,false,false,false,false,true,false,false,false,true,false,true,false,false,false,false,false,false,true,false,false,true,false,false,true,false,false,true,true,true,false,true,false,true,true,true,true,true,false,false,true,false,false,true,false,false,true,false,false,true,false,true,false,true]
29,Nidoran♀,[false,false,true,false,false,true,false,false,false,true,true,false,true,true,false,false,true,true,false,false,true,false,true,true,true,false,true,true,false,false,false,true,false,true,false,true,false,false,false,true,false,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,true,true,true,false,false,true,false,false,true,false,false,true,false,false,true,false,true,false,false]
30,Nidorina,[false,false,true,false,false,true,false,false,false,true,true,false,true,true,false,false,true,true,false,false,true,false,true,true,true,false,true,true,false,false,false,true,false,true,false,true,false,false,false,true,false,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,true,true,true,false,false,true,false,false,true,false,false,true,false,false,true,false,true,false,false]
31,Nidoqueen,[true,false,true,false,true,true,false,false,false,true,true,true,true,true,true,false,true,true,false,false,true,false,true,true,true,true,true,true,false,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false,false,false,false,true,false,false,false,true,false,true,true,false,false,false,false,false,true,false,false,true,false,false,true,true,false,false,false,true,false,true,false,true,false,true,true,true,false,false,true,false,false,true,false,false,true,false,true,true,true,true,false,true]
32,Nidoran♂,[false,false,true,false,false,true,false,false,false,true,true,false,true,true,false,false,true,true,false,false,true,false,true,true,true,false,true,true,false,false,false,true,false,true,false,true,false,false,false,false,false,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,true,true,true,false,false,true,false,false,true,false,false,true,false,false,true,false,true,false,false]
33,Nidorino,[false,false,true,false,false,true,false,false,false,true,true,false,true,true,false,false,true,true,false,false,true,false,true,true,true,false,true,true,false,false,false,true,false,true,false,true,false,false,false,false,false,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,true,true,true,false,false,true,false,false,true,false,false,true,false,false,true,false,true,false,false]
34,Nidoking,[true,false,true,false,true,true,false,false,false,true,true,true,true,true,true,false,true,true,false,false,true,false,true,true,true,true,true,true,false,true,true,true,false,true,true,true,true,true,true,false,true,true,true,true,true,true,false,false,false,false,false,true,false,false,false,true,false,true,true,false,false,false,false,false,true,false,false,true,false,false,true,true,false,false,false,true,false,true,false,true,false,true,true,true,false,false,true,false,false,true,false,false,true,false,true,true,true,true,false,true]
35,Clefairy,[true,false,true,true,false,true,false,false,false,true,true,false,true,true,false,true,true,true,false,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,false,false,true,false,false,false,true,true,true,true,false,false,false,true,false,false,false,false,false,false,true,true,true,false,true,false,false,false,false,false,false,true,false,false,true,false,false,true,false,false,true,true,true,false,false,false,true,true,false,true,true,true,false,false,true,false,false,false,false,false,true,false,true,false,false]
36,Clefable,[true,false,true,true,false,true,false,false,false,true,true,false,true,true,true,true,true,true,false,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,false,false,true,false,false,false,true,true,true,true,false,false,false,true,false,false,true,false,false,false,true,true,true,false,true,false,false,false,false,false,false,true,true,false,true,false,false,true,false,false,true,true,true,false,false,false,true,true,false,true,true,true,false,false,true,false,false,false,false,false,true,false,true,false,false]
37,Vulpix,[false,false,false,false,true,true,false,false,false,true,true,false,false,false,false,false,true,false,false,true,true,false,true,false,false,false,true,true,false,false,false,true,false,false,true,false,false,true,false,false,false,true,true,true,true,false,false,false,false,true,false,false,true,false,false,false,false,true,false,false,true,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,true,true,false,false,true,true,false,false,false,true,false,false,true,false,false,false,false,false,false,false,false,false,false]
38,Ninetales,[false,false,false,true,true,true,false,false,false,true,true,false,false,false,true,false,true,false,false,true,true,true,true,false,false,false,true,true,false,false,false,true,false,false,true,false,false,true,false,false,false,true,true,true,true,false,false,false,false,true,false,false,true,false,false,false,false,true,false,false,true,false,false,false,false,true,false,true,false,false,false,false,false,false,false,false,true,true,true,false,false,true,true,false,true,false,true,false,false,true,false,false,false,false,false,false,false,false,false,false]
39,Jigglypuff,[true,false,true,false,false,true,false,false,false,true,true,false,true,true,false,true,true,true,false,true,true,true,false,true,true,false,true,true,true,true,true,true,true,true,true,false,false,true,false,false,false,true,true,true,true,false,false,false,true,false,false,false,false,false,false,true,true,true,false,true,false,false,false,false,false,false,true,false,false,true,false,false,true,true,false,true,true,true,false,false,false,true,true,false,true,true,true,false,false,true,false,false,false,false,false,true,false,false,false,false]
40,Wigglytuff,[true,false,true,false,false,true,false,false,false,true,true,false,true,true,true,true,true,true,false,true,true,true,false,true,true,false,true,true,true,true,true,true,true,true,true,false,false,true,false,false,false,true,true,true,true,false,false,false,true,false,false,true,false,false,false,true,true,true,false,true,false,false,false,false,false,false,true,true,false,true,false,false,true,true,false,true,true,true,false,false,false,true,true,false,true,true,true,false,false,true,false,false,false,false,false,true,false,false,false,false]
41,Zubat,[false,false,false,false,false,true,false,false,false,true,true,true,false,false,false,false,true,true,true,false,true,false,false,false,false,false,true,false,false,true,false,true,false,false,false,true,false,false,false,true,true,true,true,true,true,true,true,false,true,false,true,false,false,false,false,false,false,true,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,true,true,false,false,false,true,true,true,true,false,false,false,true,false,false,false,false,false,false]
42,Golbat,[false,false,false,false,false,true,false,false,false,true,true,true,false,false,true,false,true,true,true,false,true,false,false,false,false,false,true,false,false,true,false,true,false,false,false,true,false,false,false,true,true,true,true,true,true,true,true,false,true,false,true,false,false,false,false,false,false,true,false,false,false,false,false,false,false,true,false,true,false,false,false,false,false,false,false,false,false,true,false,false,false,true,true,false,false,false,true,true,true,true,false,false,false,true,false,false,false,false,false,false]
43,Oddish,[false,false,false,false,false,true,false,false,true,true,true,false,false,false,false,false,true,false,true,false,true,true,false,false,false,false,true,false,false,false,false,true,false,false,false,true,false,false,false,false,false,true,true,true,true,false,false,false,false,false,false,false,true,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,true,false,false,true,false,false,false,true,true,false,false,true,true,false,false,true,false,false,true,false,false,false,false,false,false,false]
44,Gloom,[false,false,false,false,false,true,false,false,true,true,true,false,false,false,false,false,true,false,true,false,true,true,false,false,false,false,true,false,false,false,false,true,false,false,false,true,false,false,false,false,false,true,true,true,true,false,false,false,false,false,false,false,true,false,false,true,false,true,false,true,false,false,false,false,false,false,false,false,false,true,false,false,false,false,true,false,false,true,false,false,false,true,true,false,false,true,true,false,false,true,false,false,true,false,false,false,false,false,false,false]
45,Vileplume,[false,false,false,false,false,true,false,false,true,true,true,false,false,false,true,false,true,false,true,false,true,true,false,false,false,false,true,false,false,false,false,true,false,false,false,true,false,false,false,false,false,true,true,true,true,false,false,false,false,false,false,false,true,false,false,true,false,true,false,true,false,false,false,false,false,false,false,true,false,true,false,false,false,false,true,false,false,true,false,false,false,true,true,false,false,true,true,false,false,true,false,false,true,false,false,false,false,false,false,false]
46,Paras,[false,false,false,false,false,true,false,false,true,true,true,false,false,false,false,false,true,false,true,false,true,true,false,false,false,false,true,true,false,false,true,true,false,false,false,true,false,false,false,true,false,true,true,true,true,true,false,false,false,false,false,false,true,true,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,true,false,false,true,false,false,true,true,true,false,false,true,true,false,false,true,false,false,true,false,false,false,false,true,false,false]
47,Parasect,[false,false,false,false,false,true,false,false,true,true,true,false,false,false,true,false,true,false,true,false,true,true,false,false,false,false,true,true,false,false,true,true,false,false,false,true,false,false,false,true,false,true,true,true,true,true,false,false,false,false,false,false,true,true,false,false,false,true,false,false,false,false,false,false,false,false,false,true,false,true,false,false,false,false,true,false,false,true,false,false,true,true,true,false,false,true,true,false,false,true,false,false,true,false,false,false,false,true,false,false]
48,Venonat,[false,false,false,false,false,true,false,false,false,true,true,false,false,false,false,false,true,false,true,false,true,true,false,false,false,false,true,false,true,false,false,true,false,false,false,true,false,false,false,false,false,true,true,true,true,true,false,true,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,true,false,false,false,true,true,false,false,false,true,false,false,true,false,false,false,false,false,false,false,false,false,false]
49,Venomoth,[false,false,false,true,false,true,false,false,false,true,true,false,false,false,true,false,true,false,true,false,true,true,false,false,false,false,true,false,true,false,false,true,false,false,false,true,false,false,false,true,false,true,true,true,true,true,false,true,false,false,true,false,true,false,false,false,false,true,false,false,false,true,false,false,false,false,false,true,false,true,false,false,false,false,false,false,false,true,false,false,false,true,true,false,false,false,true,false,true,true,false,false,false,false,false,false,false,false,false,false]
50,Diglett,[false,false,false,false,false,true,false,false,false,true,true,false,false,false,false,false,true,false,false,false,true,false,false,false,false,true,true,true,false,false,false,true,false,false,false,true,true,false,true,true,false,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,false,true,false,true,false,true,true,false,false,false,true,false,false,true,false,false,true,false,false,false,false,true,false,false]
51,Dugtrio,[false,false,false,false,false,true,false,false,false,true,true,false,false,false,true,false,true,false,false,false,true,false,false,false,false,true,true,true,false,false,false,true,false,false,false,true,true,false,true,true,false,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,true,false,false,true,false,false,true,false,false,false,false,true,false,true,false,true,false,true,true,false,false,false,true,false,false,true,false,false,true,false,false,false,false,true,false,false]
52,Meowth,[false,false,true,false,false,true,false,false,false,true,true,true,false,false,false,false,true,true,false,false,true,false,true,true,true,false,true,true,false,true,false,true,false,true,false,false,false,false,false,true,true,true,true,true,true,true,false,false,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,true,true,false,false,false,true,false,false,false,false,false,false,true,true,true,false,false,true,true,false,true,false,true,false,true,true,false,false,true,false,false,false,false,false,false,false]
53,Persian,[false,false,true,false,true,true,false,false,false,true,true,true,false,false,true,false,true,true,false,false,true,false,true,true,true,false,true,true,false,true,false,true,false,true,false,false,false,false,false,true,true,true,true,true,true,true,false,false,true,false,false,false,false,false,false,false,false,true,false,false,false,false,true,false,true,true,false,true,false,true,false,false,false,false,false,false,true,true,true,false,false,true,true,false,true,false,true,false,true,true,false,false,true,false,false,false,false,false,false,false]
54,Psyduck,[true,false,true,true,false,true,true,false,false,true,false,false,true,true,false,false,true,true,false,false,true,false,true,false,false,false,true,true,true,false,true,true,false,false,false,false,false,false,false,true,false,true,true,true,true,false,false,false,false,false,false,false,false,false,true,true,false,true,false,false,false,false,false,false,true,false,false,false,false,true,false,false,false,false,false,false,true,true,false,false,false,true,true,false,false,false,true,false,false,true,false,false,false,false,true,true,true,true,true,false]
55,Golduck,[true,false,true,true,false,true,true,false,false,true,false,false,true,true,true,false,true,true,false,false,true,false,true,false,false,false,true,true,true,false,true,true,false,false,false,false,false,false,false,true,false,true,true,true,true,false,false,false,false,false,false,true,false,false,true,true,false,true,false,false,false,false,false,false,true,false,false,true,false,true,false,false,false,false,false,false,true,true,false,false,false,true,true,false,false,false,true,false,false,true,false,false,false,false,true,true,true,true,true,true]
